,Movie/Show,year,average_rating
0,Five Came Back: The Reference Films,1945,
1,Taxi Driver,1976,8.25
2,Monty Python and the Holy Grail,1975,8.0
3,Life of Brian,1979,7.9
4,The Exorcist,1973,7.9
5,Monty Python's Flying Circus,1969,8.55
6,Dirty Harry,1971,7.6
7,My Fair Lady,1964,7.699999999999999
8,The Blue Lagoon,1980,6.0
9,Bonnie and Clyde,1967,7.6
10,The Professionals,1966,7.199999999999999
11,The Guns of Navarone,1961,7.45
12,Lupin the Third: The Castle of Cagliostro,1979,7.55
13,Richard Pryor: Live in Concert,1979,7.8
14,The Long Riders,1980,6.75
15,White Christmas,1954,7.35
16,Cairo Station,1958,7.45
17,The Queen,1968,6.85
18,Hitler: A Career,1977,7.45
19,FTA,1972,6.15
20,Saladin the Victorious,1963,7.35
21,Singapore,1960,6.35
22,Dark Waters,1956,6.300000000000001
23,Alexandria… Why?,1979,6.6
24,Raya and Sakina,1953,6.3
25,No Longer Kids,1979,8.35
26,Amrapali,1966,6.5
27,Dostana,1980,3.5
28,The Blazing Sun,1954,7.2
29,Monty Python's Fliegender Zirkus,1972,7.55
30,The Return of the Prodigal Son,1976,6.300000000000001
31,Prince,1969,6.95
32,Lock Your Girls In,1980,
33,The Witness Who Didn't See Anything,1976,
34,The School of Mischief,1973,
35,Manoranjan,1974,5.9
36,"Beirut, Oh Beirut",1975,6.9
37,We Are All for the Fatherland,1979,5.75
38,Whispers,1980,6.4
39,Lal Patthar,1971,6.6
40,Ujala,1959,6.35
41,Alibaba Aur 40 Chor,1979,6.5
42,Professor,1962,6.3
43,Chadi Jawani Budhe Nu,1976,5.3
44,Bandie,1978,5.1
45,Khoon Khoon,1973,4.449999999999999
46,Top Gun,1986,6.95
47,Seinfeld,1989,8.600000000000001
48,Stand by Me,1986,8.0
49,Once Upon a Time in America,1984,8.350000000000001
50,When Harry Met Sally...,1989,7.550000000000001
51,Teenage Mutant Ninja Turtles,1990,6.65
52,Full Metal Jacket,1987,8.2
53,Christine,1983,6.75
54,A Nightmare on Elm Street,1984,7.35
55,Knight Rider,1982,7.2
56,Awakenings,1990,7.8
57,Thomas & Friends,1984,6.55
58,Annie,1982,6.55
59,Pet Sematary,1989,6.55
60,Saved by the Bell,1989,7.55
61,She's Gotta Have It,1986,6.7
62,Eddie Murphy Raw,1987,7.449999999999999
63,Endless Love,1981,5.25
64,Wheel of Fortune,1983,6.7
65,Major Dad,1989,6.35
66,Fireman Sam,1987,6.699999999999999
67,Danger Mouse,1981,7.4
68,Mobile Suit Gundam II: Soldiers of Sorrow,1981,7.2
69,Mobile Suit Gundam: Char's Counterattack,1988,7.05
70,Sam Kinison: Breaking the Rules,1987,7.2
71,Tim Allen: Men Are Pigs,1990,6.15
72,Monty Python Live at the Hollywood Bowl,1982,7.65
73,The George McKenna Story,1988,6.05
74,Unspeakable Acts,1990,5.65
75,Waiting for the Hearse,1985,8.1
76,Mobile Suit Gundam III: Encounters in Space,1982,7.6
77,Agneepath,1990,7.05
78,Parrot Sketch Not Included: Twenty Years of Monty Python,1989,7.449999999999999
79,Too Young The Hero,1988,6.800000000000001
80,Adam: His Song Continues,1986,7.0
81,Disco Dancer,1982,5.9
82,The Ryan White Story,1989,6.800000000000001
83,In Defense of a Married Man,1990,5.25
84,Dil,1990,6.55
85,Bye Bye London,1982,8.1
86,Quiet Victory: The Charlie Wedemeyer Story,1988,7.55
87,"Alexandria, Again and Forever",1989,5.9
88,Strange Voices,1987,6.55
89,Aakhri Adaalat,1988,5.05
90,A Stoning in Fulham County,1988,5.8
91,The Married Couples,1981,
92,Sayed The Servant,1985,
93,Muqaddar Ka Faisla,1987,
94,Sohni Mahiwal,1984,5.949999999999999
95,The Little Wars,1982,5.9
96,Bill Hicks: Sane Man,1989,
97,Duniya,1984,
98,High Risk,1988,
99,Pyar Ke Do Pal,1986,
100,Jaal,1986,5.1
101,Mujrim,1989,5.7
102,An Egyptian Story,1982,7.0
103,Ek Jaan Hain Hum,1983,6.65
104,The Quick and the Dead,1995,6.5
105,Survivor,2000,7.35
106,Stargate SG-1,1997,8.3
107,Pokémon,1997,7.6
108,Forrest Gump,1994,8.65
109,Happy Gilmore,1996,6.8
110,One Piece,1999,8.8
111,Saving Private Ryan,1998,8.399999999999999
112,Cowboy Bebop,1998,8.7
