,genres,total value,percentage
0,drama,2901,19.834541227950226
1,comedy,2269,15.513469164501572
2,thriller,1178,8.054150143579927
3,action,1053,7.199507725967455
4,romance,958,6.549979488581978
5,documentation,910,6.2217968002187884
6,crime,891,6.091891152741693
7,animation,665,4.546697661698346
8,fantasy,631,4.314234924107754
9,family,622,4.252700670039655
10,scifi,587,4.013400793108164
11,european,460,3.145084096813893
12,horror,380,2.5981129495419117
13,music,238,1.6272391631341445
14,history,233,1.5930534664296458
15,reality,223,1.524682073020648
16,sport,166,1.1349651305893615
17,war,149,1.0187337617940653
18,,68,0.4649254751811842
19,western,44,0.3008341309995898
