,country,number_of_movies/shows
0,US,171
1,GB,94
2,FR,91
3,DE,59
4,CA,53
5,ES,36
6,CN,27
7,BE,26
8,IT,22
9,JP,20
10,AR,20
11,NL,19
12,MX,18
13,IN,18
14,DK,17
15,LB,17
16,PS,15
17,SE,14
18,ZA,13
19,CH,12
20,BR,12
21,NO,12
22,IE,11
23,QA,11
24,SG,11
25,AU,11
26,HK,9
27,IS,8
28,AT,8
29,CZ,8
30,AE,8
31,CL,8
32,NG,8
33,PL,7
34,PE,7
35,IL,7
36,LU,7
37,HU,7
38,EG,7
39,TH,6
40,PH,6
41,UY,6
42,JO,5
43,NZ,5
44,BG,5
45,KR,5
46,CO,5
47,TW,5
48,MA,5
49,PT,4
50,MY,4
51,UA,4
52,FI,4
53,RU,4
54,GR,3
55,ID,3
56,SA,3
57,GH,3
58,RO,3
59,SY,3
60,KH,3
61,GE,2
62,AL,2
63,RS,2
64,CD,2
65,IQ,2
66,IR,2
67,AF,2
68,TZ,2
69,LT,2
70,BD,2
71,TR,2
72,KW,2
73,SN,2
74,PR,2
75,SU,1
76,XX,1
77,GL,1
78,HR,1
79,TN,1
80,VA,1
81,CU,1
82,Lebanon,1
83,DZ,1
84,BF,1
85,BS,1
86,,1
87,BY,1
88,SK,1
89,MW,1
90,VE,1
91,FO,1
92,ZW,1
93,MU,1
94,PK,1
95,CY,1
96,NA,1
97,VN,1
98,IO,1
99,PY,1
100,AO,1
101,GT,1
102,LK,1
103,KE,1
104,CM,1
105,KG,1
106,NP,1
107,MZ,1
