Country,mean,median,std,max,min
Afghanistan,2794748.0,9792.0,9178461.350350177,30468516.0,100.0
Albania,44998.142857142855,15900.0,115981.3478331101,692042.0,48.0
Algeria,14461.142857142857,9875.0,14293.69338531531,48550.0,3828.0
Andorra,89282.0,94045.5,53445.558112905885,146981.0,22056.0
Angola,21556.8,9750.0,29800.824257057055,96000.0,1212.0
Argentina,45991.1756097561,35712.0,43648.370726568945,480000.0,84.0
Armenia,32698.418604651164,25080.0,24621.147796571102,106596.0,4008.0
Australia,160468.92842105264,80172.0,428342.6393299217,5845850.0,87.0
Austria,65634.75991189427,54049.0,82720.54860110136,1089624.0,1081.0
Azerbaijan,20054.0,18324.0,11929.33625346674,49344.0,1884.0
Bahamas,,,,,
Bahrain,138445.7142857143,44688.0,227838.7403857637,648588.0,14328.0
Bangladesh,14275.461538461539,7776.0,30517.609069818736,400860.0,708.0
Barbados,18473.666666666668,18000.0,11057.62075071607,30262.0,4380.0
Belarus,38170.51515151515,32676.0,29286.206682746815,200000.0,2856.0
Belgium,180778.91355140187,49170.0,2186412.471366795,45241312.0,2184.0
Belize,28831.0,22625.0,15057.827964218479,46000.0,17868.0
Benin,9678.857142857143,4800.0,13296.321037898308,39552.0,2640.0
Bhutan,14718.0,14718.0,13686.758856646813,24396.0,5040.0
Bolivia,24221.625,17676.0,21821.327309131724,100000.0,864.0
Bosnia and Herzegovina,47806.82089552239,29796.0,109242.53215526776,908028.0,5292.0
Botswana,5384.0,5460.0,3162.6849353041794,8508.0,2184.0
Brazil,42214.023373341755,21996.0,185096.4757387489,4656132.0,27.0
Brunei Darussalam,,,,,
Bulgaria,43636.792,33486.0,48241.627978550016,430980.0,3312.0
Burkina Faso,23736.0,23736.0,,23736.0,23736.0
Burundi,1584.0,1584.0,,1584.0,1584.0
Cambodia,200213.4,10698.0,400667.1571911029,1149150.0,588.0
Cameroon,6572.0625,4548.0,5948.533583651801,25000.0,36.0
Canada,135732.56300578034,75631.0,397231.8400971443,7563129.0,79.0
Cape Verde,29740.0,29740.0,28651.966773678905,50000.0,9480.0
Central African Republic,,,,,
Chad,,,,,
Chile,36344.034013605444,30000.0,31023.537772086784,220000.0,36.0
China,62562.90969899666,34296.0,125257.1422126649,1380000.0,2.0
Colombia,28632.438848920865,21192.0,28086.17002949761,288000.0,12.0
"Congo, Republic of the...",33830.0,17000.0,45151.183816152596,125000.0,6000.0
Costa Rica,70242.95833333333,38886.0,108513.9396900788,720000.0,48.0
Croatia,39894.82467532468,31344.0,30201.597437112072,216200.0,2616.0
Cuba,9294.153846153846,7326.0,5361.4737354000545,23304.0,2568.0
Cyprus,83329.16666666667,32426.5,143165.19288162654,648588.0,7884.0
Czech Republic,46172.87417218543,39564.0,28638.155804839713,240000.0,2856.0
Côte d'Ivoire,8574.8,6870.0,7108.949739588823,21756.0,824.0
Democratic Republic of the Congo,35880.57142857143,28404.0,22877.9987969311,72000.0,5000.0
Denmark,98191.9387254902,85536.0,121308.88720012787,2084112.0,48.0
Djibouti,36060.0,36060.0,,36060.0,36060.0
Dominica,18501.0,18501.0,,18501.0,18501.0
Dominican Republic,28086.067567567567,18243.5,39076.21085594644,300000.0,2244.0
Ecuador,27819.276923076923,19200.0,21127.286884728368,100000.0,4800.0
Egypt,17099.838541666668,11772.0,18655.996638785073,180000.0,12.0
El Salvador,35592.76190476191,16800.0,71844.5033846743,336000.0,1500.0
Estonia,53878.09090909091,45318.0,73680.77631641336,700476.0,9084.0
Ethiopia,23949.571428571428,12042.0,46599.09040395736,250000.0,2400.0
Fiji,15850.0,15850.0,,15850.0,15850.0
Finland,75220.18229166667,60972.0,91469.54026794001,908028.0,10380.0
France,90213.51466992665,48936.0,228174.72592268322,6226452.0,45.0
Gambia,9438.0,9438.0,3334.715580075758,11796.0,7080.0
Georgia,34310.77906976744,21204.0,62775.97732954881,559716.0,852.0
Germany,103014.51675376575,64859.0,197104.66831223026,5837292.0,65.0
Ghana,11326.542857142857,6744.0,12439.378865103348,42000.0,276.0
Greece,55289.79935275081,25944.0,175202.93827405473,2659212.0,6000.0
Guatemala,26166.725,20634.0,17063.206424542204,84000.0,4716.0
Guinea,5064.0,5064.0,,5064.0,5064.0
Guyana,8376.0,8376.0,5328.756703021822,12144.0,4608.0
Haiti,135633.33333333334,36000.0,198575.98881368648,364300.0,6600.0
Honduras,23324.266666666666,20400.0,17660.095111645947,62400.0,3864.0
Hong Kong (S.A.R.),71370.35483870968,55572.0,113403.1782246371,1111524.0,612.0
Hungary,44116.39463601533,32712.0,63625.88067247092,853116.0,12.0
Iceland,77838.66666666667,79956.0,18858.475801041328,122280.0,42324.0
India,42522.58346374544,14748.0,453911.2000035088,20000000.0,12.0
Indonesia,46734.70247933884,7908.0,507589.79119723616,7903704.0,528.0
"Iran, Islamic Republic of...",53095.504310344826,22800.0,463441.75725824386,9975060.0,12.0
Iraq,32828.0,15672.0,55768.72657681902,251640.0,204.0
Ireland,192710.512,86478.0,407861.45254260366,4323900.0,227.0
Isle of Man,102804.33333333333,90482.0,69717.06996377095,177861.0,40070.0
Israel,123152.81519507187,108564.0,162525.218262934,2626680.0,2481.0
Italy,81470.16505894963,36861.0,190279.9053836525,2972700.0,41.0
Jamaica,14610.875,15108.0,7595.814287910715,25536.0,1702.0
Japan,108498.57454545454,62950.0,211994.63825539,2589960.0,4.0
Jordan,36022.1,31310.0,23065.132168604025,95976.0,2388.0
Kazakhstan,24597.657894736843,20070.0,19151.240153586437,107460.0,2484.0
Kenya,42530.375,11868.0,228674.98162591923,2500000.0,12.0
Kosovo,36654.0,19332.0,49770.879804359494,233496.0,7236.0
Kuwait,63398.769230769234,39228.0,55110.58369943388,189480.0,13728.0
Kyrgyzstan,18179.272727272728,20616.0,8914.819987985276,30000.0,6012.0
Lao People's Democratic Republic,27548.0,20220.0,29479.206773588736,60000.0,2424.0
Latvia,56744.3870967742,39240.0,95727.21382501509,778308.0,6480.0
Lebanon,43936.46511627907,21600.0,77351.05604578108,360000.0,100.0
Lesotho,7620.0,4812.0,5933.244643531902,14436.0,3612.0
Liberia,12.0,12.0,,12.0,12.0
Libyan Arab Jamahiriya,51773.333333333336,34044.0,42250.6093368289,100000.0,21276.0
Liechtenstein,,,,,
Lithuania,55940.308270676695,48644.0,37409.1917567952,259440.0,595.0
Luxembourg,86536.1724137931,75669.0,55157.13144026991,285384.0,33510.0
Madagascar,7171.090909090909,5160.0,9346.648869563309,34050.0,648.0
Malawi,34938.0,15270.0,47033.7327457645,104316.0,4896.0
Malaysia,24501.467105263157,17293.5,38741.29942329675,432384.0,36.0
Maldives,18579.428571428572,15072.0,9234.610673207306,31080.0,7764.0
Mali,,,,,
Malta,121990.37037037036,49725.0,216346.73461796818,791280.0,22701.0
Mauritania,11226.0,11226.0,11344.821197356969,19248.0,3204.0
Mauritius,33473.666666666664,35502.0,22287.529576111854,75669.0,6732.0
Mexico,32721.136865342163,21972.0,62347.90742114274,1131150.0,916.0
"Micronesia, Federated States of...",,,,,
Monaco,26100.0,26100.0,,26100.0,26100.0
Mongolia,20390.4,10458.0,31532.216312844233,108912.0,2184.0
Montenegro,61572.846153846156,36324.0,79847.28843428368,311328.0,15564.0
Morocco,21457.651515151516,12936.0,29667.18065705315,184800.0,2400.0
Mozambique,17009.8,10709.0,21945.790079192862,55632.0,1272.0
Myanmar,10897.8,7320.0,13027.023926398055,53760.0,828.0
Namibia,31916.88888888889,30084.0,20433.09910686852,64080.0,8016.0
Nepal,15069.54128440367,7884.0,23575.32059737711,148000.0,132.0
Netherlands,88595.17013232515,59676.0,155429.57724180463,3383250.0,2150.0
New Zealand,137595.68902439025,70279.0,527170.9171956704,8625145.0,4150.0
Nicaragua,30176.2,16371.0,31027.847885407715,100000.0,3540.0
Niger,51362.5,51362.5,66477.2298196909,98369.0,4356.0
Nigeria,18702.98404255319,10426.0,28434.307492768785,300000.0,24.0
Nomadic,215491.27777777778,81500.0,491009.0165547826,2160000.0,8424.0
North Korea,240000.0,240000.0,,240000.0,240000.0
Norway,152111.03971962616,80922.0,258829.91875034457,1683168.0,30.0
Oman,80253.0,54540.0,74987.17674376066,186996.0,24936.0
Pakistan,13892.709677419354,7788.0,22309.203399852064,251808.0,624.0
Palestine,26872.615384615383,18912.0,23063.1386615759,80556.0,4908.0
Panama,104385.36,39500.0,175516.30971196567,720000.0,7800.0
Papua New Guinea,,,,,
Paraguay,33369.32352941176,17466.0,42661.98318190763,200000.0,6432.0
Peru,21499.4,16668.0,16968.177783910178,75000.0,1236.0
Philippines,20364.287356321838,11856.0,33196.89469456496,357876.0,1350.0
Poland,47868.41360787825,39492.0,55933.34575030708,1140000.0,61.0
Portugal,56645.623417721516,32429.0,116519.40729179984,1362036.0,130.0
Qatar,79374.0,84048.0,28397.76788411371,112056.0,31308.0
Republic of Korea,47020.666666666664,33535.0,47347.951008383745,261576.0,3.0
Republic of Moldova,36757.862068965514,27240.0,29237.852607931945,120000.0,4080.0
Romania,70608.64788732394,35280.0,306232.5255101778,5404903.0,45.0
Russian Federation,37772.203872437356,32088.0,28992.03839523407,324000.0,24.0
Rwanda,14881.266666666666,10800.0,12504.97268213539,43000.0,1584.0
Saint Kitts and Nevis,10380.0,10380.0,,10380.0,10380.0
Saint Lucia,9768.0,9768.0,,9768.0,9768.0
Saint Vincent and the Grenadines,26640.0,26640.0,,26640.0,26640.0
San Marino,596700.0,596700.0,,596700.0,596700.0
Saudi Arabia,60668.46511627907,59189.0,38454.46621429213,147168.0,60.0
Senegal,15370.5,15816.0,10381.204760802779,34608.0,120.0
Serbia,129877.87272727273,31944.0,1120837.4879327852,14411628.0,216.0
Sierra Leone,,,,,
Singapore,109176.47945205479,64548.0,293723.4576351735,3360000.0,3586.0
Slovakia,45764.39416058394,37620.0,55996.40449570343,492924.0,5400.0
Slovenia,56961.792207792205,40860.0,119720.8925188586,1473588.0,1405.0
Somalia,9600.0,9600.0,0.0,9600.0,9600.0
South Africa,56919.55614973262,46935.0,73146.10138858657,720528.0,36.0
South Korea,107689.1294117647,44160.0,194204.46381197052,1006056.0,6.0
Spain,79179.84154589372,41077.0,146112.70651655147,1816044.0,49.0
Sri Lanka,12937.417647058823,11544.0,11734.973357459252,118704.0,324.0
Sudan,10219.636363636364,6528.0,8180.116273901334,22752.0,1200.0
Suriname,8406.0,8406.0,6762.76925526814,13188.0,3624.0
Swaziland,21140.166666666668,9518.0,22090.354134025707,52857.0,4008.0
Sweden,76051.5,56814.5,218132.435474435,5770850.0,5216.0
Switzerland,158025.8407079646,101649.0,265017.05773292755,2439576.0,86.0
Syrian Arab Republic,18600.833333333332,11826.0,22973.360693120892,108000.0,1200.0
Taiwan,45630.03048780488,28567.0,81294.1211552847,719424.0,2.0
Tajikistan,9900.0,8664.0,8116.889059239384,18564.0,2472.0
Thailand,58518.926315789475,26904.0,124289.91754552434,1153104.0,5760.0
The former Yugoslav Republic of Macedonia,26475.942857142858,23352.0,17753.333224633454,63156.0,2532.0
Togo,5656.0,5100.0,3983.210765199351,9888.0,1980.0
Trinidad and Tobago,38050.90909090909,26640.0,35306.63095072807,120000.0,8880.0
Tunisia,15070.701754385966,10524.0,18472.25582844727,129720.0,168.0
Turkey,37450.31365313653,24657.5,61312.250109479704,713448.0,10.0
Turkmenistan,13503.0,13716.0,3159.630991112728,17148.0,9432.0
Tuvalu,,,,,
Uganda,25662.18181818182,12120.0,61499.85633847781,360216.0,1308.0
Ukraine,43968.12765957447,41592.0,35185.96015035284,416000.0,68.0
United Arab Emirates,53764.66265060241,42468.0,37351.46014035483,147012.0,1361.0
United Kingdom of Great Britain and Northern Ireland,141688.55460750853,74970.0,289320.0853285595,8078700.0,23.0
United Republic of Tanzania,19254.076923076922,7536.0,23858.484748069106,91883.0,108.0
United States of America,262993.89848024317,125000.0,850775.409199553,21822250.0,1.0
Uruguay,50857.69026548672,40980.0,50781.18348964077,460260.0,7248.0
Uzbekistan,19029.82857142857,15120.0,21191.05807741407,105024.0,1236.0
"Venezuela, Bolivarian Republic of...",22465.048387096773,12000.0,36350.098079299176,229596.0,353.0
Viet Nam,19952.885135135137,12678.0,29680.385533353252,258744.0,1000.0
Yemen,5628.666666666667,3954.0,6860.341876806627,19176.0,100.0
Zambia,19914.909090909092,9816.0,29354.286697021085,105000.0,4056.0
Zimbabwe,11414.76923076923,7200.0,10534.865084991567,36000.0,120.0
